start_time,viewer_name,team_name,app_name,page_name,query_text,query_type,query_id,query_time_sec,database_name,schema_name
2023-11-26 11:18:09.577069,WILSON,Design,DESIGNSTUDIO,📊 Sales Reports,UPDATE accounts SET balance = balance + 500 WHERE account_id = 123,select,848998,2.192378108679208,DB3,SCHEMA_C
2023-12-07 11:18:09.577297,KJONES,HR,PAYROLL_SYSTEM,📚 Library Resources,DELETE FROM logs WHERE date < '2023-01-01',update,285389,2.5741174792614867,DB2,SCHEMA_C
2023-11-17 11:18:09.577391,MBROWN,Finance,EXTRA_Finance,💻 Tech Support,DELETE FROM logs WHERE date < '2023-01-01',update,553021,3.373108096721535,DB4,SCHEMA_D
2023-11-15 11:18:09.577469,THOMAS,Marketing,MARKETING_DASHBOARD,🌐 Global Reach,UPDATE accounts SET balance = balance + 500 WHERE account_id = 123,delete,183675,3.125672814964156,DB2,SCHEMA_C
2023-11-16 11:18:09.577538,JPATEL,IT,IT_SERVICES,👩‍🔬 Research Data,"INSERT INTO designs (title, creator) VALUES ('New Logo', 'Alice')",update,653506,6.748737329223154,DB3,SCHEMA_D
2023-11-30 11:18:09.577605,KJONES,Support,SUPPORTDESK,👨‍💻 Developer Hub,UPDATE users SET last_login = NOW() WHERE user_id = 456,delete,819799,6.572885942478843,DB5,SCHEMA_B
2023-12-09 11:18:09.577672,TAYLOR,DevOps,EXTRA_DevOps,📊 Sales Reports,"INSERT INTO designs (title, creator) VALUES ('New Logo', 'Alice')",select,393240,4.144460974516337,DB4,SCHEMA_D
2023-12-05 11:18:09.577738,EWILLIAMS,Support,SUPPORTDESK,👩‍🔬 Research Data,SELECT * FROM projects WHERE status = 'active',select,992863,2.841841556975231,DB3,SCHEMA_A
2023-12-05 11:18:09.577821,DAVIS,Finance,ACCOUNTS_TOOL,📅 Event Calendar,"INSERT INTO sales (date, amount) VALUES (NOW(), 1000)",update,102834,3.415341940778894,DB5,SCHEMA_E
2023-12-05 11:18:09.577896,KJONES,Marketing,AD_MANAGER,🌐 Global Reach,DELETE FROM logs WHERE date < '2023-01-01',select,210526,2.600350169433925,DB2,SCHEMA_A
2023-12-09 11:18:09.579971,HERNANDEZ,Finance,EXTRA_Finance,📈 Market Trends,UPDATE users SET last_login = NOW() WHERE user_id = 456,insert,386645,6.840325978078658,DB2,SCHEMA_A
2023-11-15 11:18:09.580094,WILSON,Design,CREATIVE_SUITE,🎯 Target Metrics,DELETE FROM emails WHERE spam = TRUE,update,960595,10.917751486992376,DB3,SCHEMA_E
2023-11-22 11:18:09.580145,EWILLIAMS,Support,EXTRA_Support,🔧 Tool Settings,DELETE FROM emails WHERE spam = TRUE,delete,973357,3.6035084822252546,DB2,SCHEMA_E
2023-12-14 11:18:09.580186,TAYLOR,IT,IT_SERVICES,👩‍🔬 Research Data,UPDATE accounts SET balance = balance + 500 WHERE account_id = 123,update,948477,3.043873242292937,DB5,SCHEMA_B
2023-12-10 11:18:09.580236,THOMAS,Management,STRATEGY_PLANNER,💬 Chat Room,DELETE FROM logs WHERE date < '2023-01-01',select,571723,2.9802111273279324,DB1,SCHEMA_C
2023-11-18 11:18:09.580280,KJONES,R&D,LAB_NOTES,💡 Innovative Ideas,DELETE FROM logs WHERE date < '2023-01-01',select,170483,2.1673495566968572,DB4,SCHEMA_A
2023-11-22 11:18:09.580321,LWANG,DevOps,EXTRA_DevOps,📊 Sales Reports,DELETE FROM emails WHERE spam = TRUE,insert,519924,6.218827645224717,DB2,SCHEMA_D
2023-11-29 11:18:09.580360,WILSON,Sales,CRM_TOOL,📚 Library Resources,"INSERT INTO designs (title, creator) VALUES ('New Logo', 'Alice')",select,532354,4.638420701443137,DB3,SCHEMA_C
2023-11-22 11:18:09.580398,THOMAS,Sales,CRM_TOOL,📚 Library Resources,"INSERT INTO tickets (issue, status) VALUES ('Network issue', 'open')",delete,403998,5.579739950429871,DB3,SCHEMA_C
2023-12-08 11:18:09.580436,RODRIGUEZ,R&D,LAB_NOTES,💼 Business Deals,"INSERT INTO tickets (issue, status) VALUES ('Network issue', 'open')",insert,707507,5.805361876012691,DB5,SCHEMA_C
2023-11-27 11:18:09.580473,NGARCIA,Management,MANAGEMENT,👩‍🔬 Research Data,UPDATE users SET last_login = NOW() WHERE user_id = 456,delete,615114,6.87797700103294,DB1,SCHEMA_B
2023-11-26 11:18:09.580510,JPATEL,R&D,LAB_NOTES,💡 Innovative Ideas,UPDATE accounts SET balance = balance + 500 WHERE account_id = 123,update,417043,2.778087119190157,DB3,SCHEMA_B
2023-11-28 11:18:09.580547,RODRIGUEZ,Management,STRATEGY_PLANNER,🎯 Target Metrics,"INSERT INTO designs (title, creator) VALUES ('New Logo', 'Alice')",select,849262,6.685068536236869,DB2,SCHEMA_E
2023-12-09 11:18:09.580584,LWANG,Management,STRATEGY_PLANNER,💬 Chat Room,"INSERT INTO designs (title, creator) VALUES ('New Logo', 'Alice')",delete,258869,7.302140245534699,DB3,SCHEMA_E
2023-12-07 11:18:09.580637,DAVIS,R&D,LAB_NOTES,📜 Legal Documents,SELECT * FROM projects WHERE status = 'active',insert,292693,2.8432855218130015,DB3,SCHEMA_B
2023-12-04 11:18:09.580700,MBROWN,Sales,SALESFORCE,🛒 Shopping Cart,SELECT * FROM projects WHERE status = 'active',select,989296,2.4786068911304633,DB2,SCHEMA_B
2023-12-08 11:18:09.580747,MARTINEZ,DevOps,EXTRA_DevOps,💬 Chat Room,"INSERT INTO tickets (issue, status) VALUES ('Network issue', 'open')",insert,227857,5.639984442710866,DB5,SCHEMA_C
2023-11-17 11:18:09.580783,MBROWN,Management,STRATEGY_PLANNER,👩‍🔬 Research Data,SELECT * FROM projects WHERE status = 'active',delete,154855,2.699550406091824,DB4,SCHEMA_D
2023-11-19 11:18:09.580820,HERNANDEZ,Finance,ACCOUNTS_TOOL,🌐 Global Reach,SELECT * FROM employees,select,778383,2.746809042049163,DB2,SCHEMA_C
2023-12-07 11:18:09.580856,RODRIGUEZ,Marketing,AD_MANAGER,📚 Library Resources,DELETE FROM logs WHERE date < '2023-01-01',delete,907832,3.166515316687038,DB2,SCHEMA_A
2023-12-09 11:18:09.580892,RODRIGUEZ,IT,IT_SERVICES,💬 Chat Room,SELECT * FROM employees,select,350029,3.4610036903061956,DB5,SCHEMA_B
2023-11-15 11:18:09.580938,LWANG,R&D,LAB_NOTES,📜 Legal Documents,SELECT * FROM projects WHERE status = 'active',delete,482172,2.43755092429061,DB4,SCHEMA_E
2023-12-03 11:18:09.580985,KJONES,Support,TICKET_SYSTEM,👩‍🔬 Research Data,"INSERT INTO sales (date, amount) VALUES (NOW(), 1000)",update,687818,4.11385692483919,DB5,SCHEMA_D
